Generation,Food
1,2
2,7
3,15
4,30
5,19
6,27
7,20
8,16
9,31
10,21
11,23
12,25
13,37
14,34
15,31
16,31
17,30
18,36
19,35
20,31
21,37
22,36
23,39
24,35
25,27
26,35
27,36
28,23
29,32
30,51
31,30
32,33
33,33
34,32
35,43
36,30
37,30
38,26
39,31
40,31
41,42
42,46
43,42
44,56
45,47
46,61
47,46
48,51
49,38
50,45
51,57
52,50
53,53
54,51
55,58
56,45
57,40
58,48
59,39
60,43
61,47
62,47
63,57
64,57
65,55
66,56
67,78
68,63
69,48
70,57
71,55
72,43
73,56
74,55
75,63
76,62
77,54
78,61
79,57
80,56
81,58
82,71
83,57
84,62
85,63
86,51
87,65
88,57
89,53
90,48
91,65
92,58
93,53
94,43
95,68
96,54
97,67
98,65
99,52
100,59
1,2
2,3
3,3
4,3
5,8
6,6
7,25
8,27
9,18
10,18
11,19
12,17
13,26
14,22
15,20
16,27
17,30
18,23
19,28
20,24
21,28
22,33
23,40
24,29
25,32
26,33
27,29
28,25
29,30
30,44
31,23
32,33
33,36
34,35
35,42
36,24
37,25
38,24
39,23
40,28
41,42
42,34
43,51
44,36
45,32
46,43
47,44
48,34
49,37
50,43
51,31
52,38
53,30
54,43
55,57
56,40
57,32
58,30
59,36
60,44
61,39
62,41
63,39
64,66
65,38
66,36
67,53
68,52
69,49
70,46
71,43
72,43
73,40
74,42
75,58
76,59
77,41
78,53
79,58
80,47
81,44
82,50
83,52
84,45
85,47
86,47
87,57
88,57
89,54
90,53
91,64
92,54
93,52
94,51
95,66
96,59
97,56
98,60
99,59
100,63
1,3
2,4
3,8
4,36
5,36
6,33
7,25
8,33
9,39
10,31
11,33
12,30
13,37
14,32
15,26
16,40
17,38
18,36
19,34
20,37
21,36
22,36
23,37
24,38
25,32
26,54
27,39
28,46
29,46
30,38
31,49
32,48
33,47
34,64
35,44
36,51
37,74
38,71
39,47
40,59
41,57
42,56
43,58
44,71
45,65
46,75
47,56
48,53
49,92
50,72
51,65
52,62
53,80
54,67
55,70
56,67
57,57
58,63
59,75
60,55
61,50
62,45
63,42
64,44
65,60
66,51
67,43
68,64
69,58
70,53
71,58
72,56
73,42
74,62
75,85
76,63
77,61
78,53
79,58
80,61
81,72
82,50
83,50
84,50
85,60
86,59
87,56
88,56
89,53
90,45
91,46
92,61
93,55
94,51
95,46
96,44
97,48
98,51
99,66
100,78
1,4
2,7
3,8
4,9
5,5
6,15
7,23
8,23
9,26
10,25
11,42
12,35
13,51
14,26
15,30
16,35
17,26
18,32
19,42
20,41
21,57
22,55
23,56
24,47
25,40
26,58
27,75
28,64
29,59
30,52
31,66
32,41
33,60
34,73
35,39
36,56
37,66
38,71
39,57
40,56
41,44
42,69
43,43
44,47
45,63
46,57
47,50
48,86
49,65
50,44
51,72
52,54
53,48
54,37
55,84
56,60
57,56
58,62
59,60
60,52
61,71
62,60
63,55
64,59
65,57
66,74
67,56
68,59
69,70
70,48
71,60
72,74
73,66
74,56
75,53
76,58
77,74
78,55
79,58
80,63
81,67
82,63
83,68
84,51
85,61
86,66
87,49
88,60
89,89
90,82
91,63
92,59
93,66
94,60
95,77
96,56
97,70
98,51
99,73
100,54
1,4
2,17
3,18
4,18
5,26
6,21
7,23
8,26
9,28
10,34
11,27
12,40
13,38
14,48
15,53
16,41
17,31
18,33
19,30
20,42
21,43
22,40
23,50
24,46
25,41
26,31
27,39
28,34
29,34
30,44
31,39
32,35
33,52
34,41
35,44
36,48
37,35
38,36
39,48
40,48
41,51
42,42
43,46
44,46
45,49
46,44
47,54
48,50
49,45
50,41
51,46
52,32
53,47
54,48
55,63
56,45
57,49
58,46
59,50
60,40
61,59
62,60
63,54
64,50
65,51
66,52
67,63
68,49
69,61
70,52
71,66
72,54
73,44
74,62
75,57
76,46
77,55
78,63
79,45
80,53
81,45
82,73
83,58
84,57
85,57
86,64
87,53
88,45
89,56
90,64
91,56
92,56
93,56
94,46
95,46
96,56
97,48
98,68
99,50
100,48
1,5
2,12
3,19
4,11
5,12
6,18
7,21
8,21
9,22
10,19
11,40
12,30
13,29
14,32
15,53
16,35
17,42
18,39
19,30
20,44
21,56
22,43
23,34
24,43
25,39
26,34
27,32
28,41
29,33
30,55
31,31
32,52
33,40
34,40
35,42
36,58
37,46
38,49
39,42
40,43
41,35
42,42
43,47
44,53
45,42
46,48
47,52
48,35
49,40
50,54
51,48
52,42
53,50
54,48
55,43
56,36
57,45
58,46
59,58
60,54
61,64
62,49
63,54
64,48
65,50
66,45
67,53
68,41
69,58
70,53
71,52
72,58
73,43
74,59
75,50
76,64
77,44
78,52
79,52
80,37
81,48
82,57
83,49
84,44
85,62
86,50
87,61
88,64
89,39
90,38
91,46
92,47
