Generation,Food
1,2
2,10
3,11
4,9
5,14
6,13
7,26
8,20
9,31
10,36
11,45
12,39
13,43
14,59
15,55
16,54
17,43
18,47
19,60
20,44
21,42
22,58
23,33
24,40
25,54
26,34
27,35
28,44
29,42
30,34
31,40
32,48
33,51
34,53
35,37
36,54
37,55
38,62
39,41
40,42
41,51
42,58
43,46
44,55
45,52
46,68
47,63
48,53
49,51
50,42
51,43
52,50
53,47
54,39
55,46
56,47
57,54
58,58
59,36
60,53
61,51
62,38
63,39
64,57
65,38
66,36
67,40
68,58
69,66
70,68
71,57
72,55
73,51
74,49
75,59
76,62
77,61
78,44
79,43
80,57
81,41
82,51
83,48
84,44
85,58
86,45
87,62
88,48
89,55
90,56
91,80
92,51
93,52
94,58
95,67
96,55
97,51
98,46
99,55
100,53
1,3
2,8
3,22
4,22
5,18
6,23
7,27
8,39
9,32
10,46
11,41
12,27
13,36
14,31
15,37
16,30
17,43
18,50
19,47
20,31
21,34
22,29
23,35
24,41
25,39
26,40
27,50
28,38
29,40
30,45
31,37
32,52
33,30
34,52
35,44
36,52
37,34
38,44
39,38
40,57
41,42
42,40
43,47
44,44
45,44
46,56
47,45
48,51
49,54
50,60
51,65
52,60
53,68
54,58
55,57
56,51
57,49
58,49
59,45
60,55
61,52
62,44
63,47
64,51
65,47
66,42
67,56
68,55
69,46
70,50
71,41
72,57
73,50
74,58
75,50
76,64
77,59
78,46
79,39
80,51
81,45
82,61
83,53
84,60
85,66
86,47
87,55
88,55
89,54
90,50
91,50
92,52
93,57
94,65
95,52
96,74
97,56
98,48
99,39
100,48
1,3
2,12
3,12
4,12
5,25
6,35
7,30
8,40
9,25
10,25
11,27
12,27
13,38
14,35
15,39
16,42
17,51
18,52
19,44
20,47
21,53
22,47
23,55
24,52
25,57
26,47
27,60
28,40
29,50
30,57
31,49
32,58
33,46
34,52
35,55
36,60
37,52
38,47
39,52
40,50
41,57
42,61
43,48
44,60
45,59
46,58
47,48
48,52
49,59
50,50
51,64
52,69
53,68
54,59
55,53
56,60
57,66
58,48
59,49
60,49
61,56
62,53
63,59
64,73
65,59
66,56
67,67
68,56
69,60
70,55
71,60
72,66
73,67
74,61
75,58
76,55
77,58
78,66
79,60
80,54
81,56
82,56
83,69
84,49
85,59
86,64
87,44
88,57
89,51
90,71
91,52
92,63
93,66
94,55
95,72
96,69
97,44
98,67
99,76
100,61
1,5
2,9
3,26
4,16
5,27
6,19
7,19
8,31
9,17
10,22
11,23
12,35
13,38
14,32
15,41
16,50
17,34
18,34
19,54
20,71
21,44
22,62
23,51
24,49
25,57
26,58
27,48
28,55
29,44
30,43
31,78
32,64
33,47
34,61
35,50
36,70
37,51
38,49
39,48
40,51
41,65
42,51
43,62
44,66
45,51
46,64
47,54
48,54
49,60
50,71
51,63
52,71
53,62
54,58
55,53
56,70
57,58
58,56
59,67
60,48
61,60
62,56
63,55
64,48
65,48
66,55
67,54
68,47
69,47
70,61
71,50
72,62
73,73
74,41
75,38
76,42
77,48
78,53
79,48
80,44
81,54
82,60
83,61
84,46
85,49
86,50
87,58
88,67
89,51
90,49
91,53
92,61
93,70
94,54
95,54
96,63
97,46
98,49
99,72
100,56
1,5
