Generation,Food
1,10
2,4
3,9
4,9
5,5
6,3
7,7
8,9
9,13
10,6
11,5
12,8
13,8
14,6
15,10
16,5
17,9
18,9
19,12
20,7
21,11
22,6
23,11
24,6
25,10
26,14
27,10
28,8
29,9
30,13
31,6
32,8
33,11
34,8
35,6
36,10
37,16
38,14
39,6
40,8
41,7
42,15
43,8
44,13
45,7
46,22
47,17
48,21
49,9
50,25
51,31
52,11
53,15
54,14
55,18
56,13
57,21
58,22
59,16
60,16
61,19
62,12
63,19
64,22
65,25
66,28
67,14
68,12
69,21
70,13
71,12
72,23
73,22
74,18
75,18
76,16
77,20
78,26
79,22
80,17
81,14
82,16
83,14
84,30
85,31
86,21
87,13
88,12
89,19
90,24
91,21
92,20
93,29
94,22
95,26
96,21
97,29
98,42
99,20
100,17
1,8
2,6
3,4
4,4
5,4
6,6
7,7
8,9
9,7
10,6
11,9
12,8
13,8
14,7
15,11
16,9
17,8
18,6
19,14
20,8
21,10
22,10
23,13
24,9
25,13
26,8
27,17
28,8
29,13
30,17
31,10
32,15
33,9
34,14
35,9
36,9
37,24
38,13
39,14
40,12
41,16
42,14
43,19
44,11
45,12
46,18
47,27
48,18
49,20
50,21
51,12
52,25
53,18
54,19
55,17
56,17
57,29
58,25
59,11
60,23
61,12
62,16
63,27
64,12
65,14
66,10
67,26
68,21
69,11
70,18
71,15
72,45
73,33
74,13
75,11
76,15
77,10
78,21
79,12
80,14
81,28
82,16
83,22
84,16
85,34
86,15
87,15
88,25
89,38
90,61
91,23
92,38
93,25
94,28
95,10
96,11
97,19
98,18
99,28
100,22
1,5
2,5
3,3
4,7
5,8
6,7
7,5
8,38
9,7
10,6
11,6
12,7
13,8
14,11
15,5
16,6
17,12
18,15
19,8
20,15
21,18
22,8
23,22
24,12
25,10
26,11
27,6
28,9
29,13
30,7
31,13
32,10
33,6
34,10
35,12
36,8
37,12
38,10
39,9
40,17
41,11
42,9
43,16
44,10
45,31
46,15
47,11
48,24
49,23
50,16
51,19
52,18
53,32
54,19
55,15
56,17
57,12
58,23
59,15
60,25
61,21
62,11
63,12
64,14
65,15
66,15
67,25
68,13
69,10
70,19
71,13
72,13
73,18
74,24
75,12
76,16
77,24
78,11
79,16
80,12
81,21
82,14
83,31
84,14
85,16
86,27
87,29
88,20
89,27
90,39
91,15
92,16
93,23
94,26
95,28
96,13
97,18
98,27
99,12
100,21
1,3
2,5
3,4
4,10
5,8
6,11
7,7
8,11
9,8
10,5
11,6
12,15
13,7
14,12
15,17
16,13
17,13
18,12
19,20
20,10
21,13
22,10
23,17
24,8
25,13
26,13
27,15
28,14
29,19
30,18
31,17
32,17
33,14
34,11
35,14
