Generation,Food
1,3
2,4
3,13
4,8
5,5
6,5
7,9
8,7
9,8
10,6
11,5
12,7
13,9
14,16
15,19
16,8
17,6
18,6
19,5
20,11
21,11
22,26
23,6
24,13
25,30
26,11
27,9
28,15
29,14
30,16
31,27
32,10
33,12
34,29
35,26
36,26
37,18
38,16
39,18
40,14
41,18
42,16
43,15
44,17
45,32
46,22
47,26
48,16
49,16
50,21
51,22
52,25
53,37
54,27
55,29
56,21
57,20
58,25
59,25
60,16
61,33
62,32
63,30
64,25
65,18
66,37
67,29
68,26
69,31
70,17
71,29
72,19
73,24
74,21
75,43
76,21
77,22
78,21
79,39
80,23
81,25
82,31
83,29
84,20
85,18
86,25
87,19
88,36
89,32
90,37
91,26
92,25
93,33
94,34
95,38
96,20
97,32
98,29
99,34
100,40
1,3
2,6
3,6
4,7
5,5
6,4
7,8
8,9
9,7
10,7
11,9
12,11
13,7
14,7
15,8
16,6
17,6
18,8
19,15
20,12
21,8
22,14
23,18
24,12
25,28
26,14
27,17
28,12
29,17
30,14
31,15
32,17
33,14
34,9
35,14
36,20
37,19
38,8
39,34
40,26
41,16
42,16
43,21
44,12
45,17
46,30
47,20
48,17
49,14
50,18
51,23
52,44
53,14
54,17
55,23
56,21
57,19
58,20
59,31
60,16
61,15
62,26
63,38
64,22
65,17
66,32
67,17
68,25
69,26
70,16
71,18
72,21
73,28
74,16
75,28
76,31
77,18
78,20
79,23
80,33
81,24
82,23
83,33
84,20
85,23
86,34
87,21
88,23
89,37
90,29
91,20
92,25
93,20
94,15
95,26
96,30
97,21
98,30
99,30
100,26
1,10
2,4
3,3
4,4
5,13
6,13
7,5
8,11
9,10
10,12
11,11
12,7
13,11
14,10
15,19
16,10
17,11
18,28
19,10
20,6
21,14
22,13
23,15
24,32
25,10
26,25
27,8
28,16
29,22
30,13
31,17
32,14
33,10
34,12
35,13
36,30
37,27
38,22
39,21
40,20
41,17
42,24
43,22
44,28
45,30
46,18
47,15
48,17
49,17
50,13
51,13
52,12
53,16
54,18
55,27
56,23
57,22
58,12
59,14
60,16
61,30
62,19
63,11
64,16
65,27
66,14
67,20
68,20
69,30
70,24
71,18
72,42
73,35
74,12
75,43
76,20
77,18
78,15
79,34
80,16
81,17
82,43
83,22
84,29
85,19
86,19
87,19
88,17
89,13
90,50
91,17
92,27
93,19
94,24
95,17
96,23
97,31
98,29
99,23
100,17
