Generation,Food
1,3
2,9
3,5
4,11
5,5
6,7
7,19
8,6
9,6
10,6
11,5
12,7
13,6
14,5
15,4
16,4
17,4
18,6
19,3
20,5
21,8
22,16
23,11
24,12
25,15
26,24
27,22
28,16
29,18
30,8
31,7
32,8
33,17
34,10
35,7
36,7
37,31
38,12
39,6
40,9
41,11
42,5
43,8
44,6
45,10
46,5
47,7
48,7
49,5
50,7
51,5
52,11
53,4
54,4
55,9
56,7
57,7
58,12
59,9
60,9
61,9
62,6
63,5
64,9
65,9
66,5
67,13
68,5
69,14
70,11
71,11
72,6
73,6
74,4
75,4
76,10
77,7
78,7
79,4
80,13
81,8
82,11
83,6
84,5
85,8
86,11
87,15
88,6
89,6
90,9
91,5
92,6
93,7
94,6
95,20
96,6
97,12
98,4
99,10
100,10
1,4
2,6
3,4
4,4
5,3
6,5
7,10
8,4
9,8
10,4
11,4
12,3
13,5
14,3
15,4
16,4
17,3
18,7
19,3
20,4
21,2
22,5
23,5
24,7
25,10
26,8
27,9
28,14
29,9
30,13
31,12
32,29
33,12
34,10
35,15
36,10
37,9
38,10
39,27
40,8
41,10
42,8
43,8
44,11
45,6
46,8
47,14
48,19
49,7
50,6
51,6
52,11
53,7
54,8
55,5
56,9
57,8
58,9
59,10
60,17
61,5
62,3
63,3
64,5
65,6
66,3
67,5
68,19
69,13
70,11
71,21
72,9
73,19
74,23
75,14
76,10
77,37
78,25
79,23
80,18
81,22
82,22
83,21
84,9
85,12
86,17
87,9
88,8
89,14
90,16
91,11
92,19
93,7
94,24
95,12
96,13
97,21
98,14
99,15
100,10
1,5
2,3
3,3
4,4
5,5
6,5
7,9
8,11
9,21
10,8
11,17
12,8
13,17
14,9
15,10
16,9
17,10
18,7
19,20
20,8
21,11
22,13
23,12
24,16
25,11
26,27
27,13
28,17
29,25
30,15
31,37
32,14
33,19
34,25
35,12
36,18
37,16
38,45
39,18
40,27
41,36
42,24
43,17
44,30
45,17
46,18
47,28
48,17
49,11
50,11
51,20
52,43
53,24
54,30
55,14
56,20
57,13
58,11
59,15
60,14
61,26
62,13
63,22
64,59
65,10
66,14
67,24
68,15
69,16
70,24
71,17
72,19
73,14
74,21
75,10
76,16
77,8
78,14
79,11
80,10
81,23
82,10
83,20
84,15
85,9
86,12
87,16
88,15
89,11
90,18
91,6
92,22
93,28
94,8
95,15
96,7
97,8
98,19
99,6
100,5
1,4
2,4
3,8
4,6
5,4
6,5
7,4
8,3
9,6
10,3
11,3
12,5
13,4
14,6
15,19
16,6
17,12
18,15
19,15
20,17
21,15
22,19
23,13
24,14
25,17
26,11
27,13
28,11
29,13
30,7
31,8
32,5
33,5
34,6
35,15
36,8
37,14
38,25
39,8
40,9
41,12
42,20
43,13
44,6
45,11
46,11
47,5
48,7
49,14
50,9
51,18
52,10
53,13
54,15
55,17
56,10
57,14
58,7
59,4
60,10
61,10
62,7
63,8
64,4
65,6
66,6
67,5
68,6
69,6
70,5
71,6
72,7
73,12
74,5
75,6
76,8
77,8
78,6
79,6
80,8
81,7
82,8
83,8
84,5
85,5
86,14
87,9
88,3
89,8
90,4
91,3
92,4
93,4
94,5
95,5
96,6
97,13
98,5
99,8
100,9
1,3
2,3
3,5
4,10
5,6
6,13
7,6
8,10
9,10
10,7
11,12
12,11
13,12
14,11
15,13
16,11
17,6
18,6
19,29
20,7
21,15
22,19
23,10
24,16
25,5
26,7
27,15
28,9
29,10
30,6
31,10
32,14
33,8
34,8
35,11
36,16
37,7
38,9
39,10
40,26
41,7
42,9
43,8
44,34
45,6
46,8
47,31
48,9
49,11
50,4
51,6
52,8
53,4
54,6
55,8
56,3
57,4
58,6
59,3
60,6
61,4
62,5
63,9
64,9
65,2
66,4
67,8
68,4
69,4
70,5
71,4
72,4
73,3
74,7
75,7
76,5
77,9
78,6
79,8
80,5
81,4
82,6
83,6
84,4
85,5
86,7
87,8
88,7
89,12
90,3
91,10
92,13
93,8
94,7
95,14
96,20
97,9
98,9
99,22
100,11
1,8
2,3
3,3
4,4
5,3
6,4
7,5
8,11
9,6
10,8
11,11
12,5
13,4
14,11
15,10
16,9
17,6
18,6
19,4
20,6
21,9
22,8
23,2
24,4
25,3
26,3
27,8
28,3
29,4
30,4
31,4
32,4
33,5
34,4
35,4
36,4
37,3
38,5
39,6
40,4
41,7
42,4
43,4
44,8
45,6
46,5
47,6
48,10
49,7
50,9
51,8
52,7
53,13
54,4
55,7
56,5
57,4
58,7
59,6
60,7
61,12
62,9
63,5
64,14
65,9
66,9
67,6
68,5
69,7
70,9
71,10
72,28
73,13
74,10
75,24
76,8
77,17
78,16
79,21
80,26
81,17
82,22
83,19
84,15
85,14
86,17
87,25
88,15
89,14
90,13
91,16
92,9
93,14
94,14
95,19
96,13
97,22
98,26
99,17
100,11
1,3
2,3
3,4
4,3
5,5
6,9
7,19
8,8
9,10
10,7
11,12
12,10
13,8
14,9
15,11
16,17
17,11
18,13
19,9
20,15
21,9
22,14
23,12
24,7
25,12
26,25
27,8
28,7
29,5
30,14
31,7
32,6
33,9
34,5
35,6
36,8
37,7
38,15
39,7
40,5
41,4
42,3
43,7
44,12
45,7
46,11
47,12
48,11
49,43
50,25
51,41
52,11
53,28
54,22
55,34
56,22
57,21
58,21
59,29
60,12
61,13
62,16
63,18
64,9
65,13
66,5
67,13
68,13
69,11
70,8
71,13
72,9
73,19
74,8
75,7
76,11
77,14
78,19
79,9
80,16
81,10
82,10
83,13
84,6
85,7
86,7
87,5
88,6
89,9
90,5
91,7
92,11
93,17
94,9
95,12
96,9
97,12
98,12
99,10
100,8
1,4
2,4
3,9
4,5
5,5
6,5
7,8
8,6
9,4
10,4
11,12
12,6
13,6
14,14
15,5
16,9
17,9
18,6
19,10
20,7
21,11
22,13
23,19
24,17
25,17
26,15
27,24
28,28
29,13
30,19
31,18
32,10
33,12
34,16
35,38
36,10
37,25
38,19
39,19
40,15
41,28
42,21
43,11
44,12
45,16
46,12
47,11
48,18
49,9
50,6
51,7
52,7
53,10
54,8
55,10
56,7
57,6
58,12
59,8
60,15
61,9
62,8
63,19
64,18
65,17
66,19
67,16
68,11
69,23
70,19
71,8
72,23
73,9
74,8
75,13
76,14
77,5
78,7
79,4
80,4
81,6
82,6
83,19
84,6
85,21
86,5
87,6
88,7
89,7
90,5
91,10
92,9
93,10
94,7
95,19
96,12
97,8
98,7
99,11
100,10
1,4
2,3
3,3
4,3
5,6
6,4
7,4
8,3
9,2
10,5
11,4
12,8
13,6
14,13
15,14
16,17
17,5
18,9
19,8
20,8
21,11
22,6
23,11
24,10
25,10
26,13
27,4
28,7
29,3
30,4
31,6
32,5
33,4
34,7
35,6
36,6
37,4
38,4
39,5
40,7
41,8
42,4
43,6
44,10
45,13
46,10
47,6
48,8
49,6
50,5
51,4
52,9
53,6
54,8
55,9
56,5
57,8
58,16
59,4
60,2
61,7
62,6
63,4
64,3
65,3
66,6
67,14
68,6
69,5
70,5
71,5
72,5
73,7
74,5
75,6
76,12
77,7
78,7
79,7
80,7
81,4
82,6
83,6
84,5
85,4
86,10
87,6
88,6
89,4
90,3
91,5
92,11
93,7
94,3
95,5
96,4
97,4
98,6
99,3
100,9
1,4
2,4
3,4
4,9
5,5
6,10
7,14
8,9
9,9
10,19
11,6
12,7
13,9
14,5
15,12
16,9
17,4
18,5
19,3
20,5
21,12
22,8
23,4
24,5
25,6
26,7
27,12
28,6
29,5
30,3
31,7
32,8
33,11
34,8
35,5
36,12
37,7
38,15
39,10
40,8
41,10
42,17
43,10
44,8
45,6
46,7
47,5
48,5
49,17
50,6
51,20
52,25
53,40
54,27
55,22
56,23
57,20
58,34
59,29
60,24
61,33
62,30
63,22
64,59
65,16
66,30
67,22
68,21
69,26
70,42
71,14
72,32
73,30
74,23
75,15
76,24
77,12
78,19
79,23
80,28
81,8
82,11
83,14
84,24
85,14
86,10
87,17
88,8
89,12
90,19
91,11
92,17
93,12
94,15
95,15
96,11
97,21
98,13
99,10
100,9
1,3
2,5
3,7
4,5
5,3
6,6
7,5
8,5
9,6
10,13
11,7
12,14
13,11
14,6
15,6
16,7
17,6
18,5
19,6
20,10
21,7
22,10
23,11
24,9
25,9
26,18
27,17
28,16
29,18
30,8
31,8
32,11
33,8
34,11
35,10
36,9
37,11
38,8
39,9
40,8
41,9
42,16
43,9
44,6
45,8
46,5
47,6
48,5
49,6
50,13
51,12
52,9
53,16
54,12
55,16
56,14
57,17
58,31
59,15
60,20
61,9
62,10
63,7
64,10
65,11
66,21
67,19
68,29
69,10
70,20
71,13
72,10
73,15
74,10
75,11
76,11
77,8
78,26
79,8
80,6
81,14
82,12
83,11
84,10
85,7
86,19
87,18
88,16
89,8
90,5
91,8
92,11
93,9
94,9
95,10
96,11
97,10
98,11
99,9
100,11
1,4
2,4
3,2
4,2
5,2
6,4
7,3
8,2
9,4
10,3
11,2
12,3
13,3
14,8
15,3
16,3
17,7
18,3
19,3
20,3
21,7
22,7
23,7
24,12
25,7
26,8
27,8
28,10
29,6
30,8
31,33
32,16
33,21
34,10
35,9
36,5
37,21
38,4
39,9
40,7
41,6
42,4
43,6
44,12
45,4
46,8
47,10
48,8
49,5
50,4
51,6
52,5
53,8
54,10
55,6
56,8
57,13
58,8
59,8
60,5
61,17
62,5
63,6
64,4
65,5
66,6
67,4
68,3
69,4
70,3
71,3
72,3
73,3
74,3
75,3
76,3
77,3
78,3
79,4
80,3
81,3
82,3
83,3
84,3
85,8
86,9
87,8
88,6
89,3
90,11
91,17
92,14
93,15
94,17
95,15
96,15
97,13
98,6
99,8
100,13
