Generation,Food
1,2
2,12
3,3
4,12
5,14
6,2
7,6
8,6
9,3
10,7
11,5
12,4
13,12
14,10
15,6
16,5
17,4
18,5
19,8
20,15
21,8
22,8
23,7
24,5
25,8
26,10
27,13
28,8
29,13
30,11
31,11
32,15
33,12
34,9
35,10
36,11
37,10
38,8
39,15
40,15
41,14
42,11
43,10
44,11
45,14
46,8
47,23
48,23
49,31
50,37
51,23
52,22
53,30
54,17
55,16
56,11
57,12
58,25
59,24
60,27
61,13
62,12
63,22
64,20
65,15
66,12
67,16
68,19
69,14
70,21
71,23
72,16
73,14
74,9
75,18
76,16
77,27
78,10
79,8
80,10
81,13
82,10
83,15
84,16
85,9
86,16
87,14
88,17
89,12
90,12
91,18
92,7
93,9
94,12
95,13
96,11
97,12
98,19
99,8
100,10
1,4
2,4
3,8
4,12
5,5
6,5
7,8
8,9
9,7
10,8
11,5
12,5
13,14
14,22
15,14
16,6
17,17
18,9
19,12
20,19
21,8
22,11
23,13
24,12
25,14
26,11
27,9
28,7
29,24
30,10
31,14
32,9
33,10
34,11
35,6
36,12
37,6
38,13
39,5
40,6
41,19
42,14
43,12
44,27
45,8
46,9
47,7
48,14
49,14
50,15
51,10
52,5
53,6
54,14
55,10
56,9
57,5
58,4
59,6
60,14
61,9
62,9
63,7
64,8
65,12
66,9
67,9
68,10
69,9
70,6
71,10
72,9
73,8
74,14
75,7
76,22
77,11
78,16
79,9
80,8
81,14
82,12
83,10
84,14
85,9
86,11
87,15
88,14
89,23
90,8
91,15
92,14
93,9
94,16
95,19
96,19
97,7
98,8
99,11
100,5
1,8
2,4
3,4
4,4
5,6
6,5
7,3
8,3
9,4
10,3
11,5
12,4
13,3
14,4
15,5
16,3
17,6
18,3
19,6
20,4
21,4
22,5
23,8
24,17
25,15
26,5
27,6
28,9
29,6
30,19
31,7
32,7
33,14
34,8
35,14
36,28
37,15
38,22
39,14
40,10
41,15
42,16
43,11
44,9
45,5
46,11
47,10
48,8
49,14
50,11
51,16
52,9
53,4
54,7
55,15
56,9
57,11
58,14
59,12
60,12
61,14
62,8
63,15
64,15
65,10
66,18
67,8
68,14
69,15
70,8
71,12
72,8
73,7
74,6
75,10
76,6
77,7
78,12
79,5
80,10
81,8
82,4
83,6
84,9
85,12
86,6
87,12
88,10
89,10
90,9
91,16
92,16
93,9
94,6
95,9
96,8
97,9
98,16
99,13
100,22
1,3
2,4
3,4
4,5
5,7
6,6
7,6
8,9
9,9
10,9
11,14
12,12
13,4
14,22
15,7
16,15
17,14
18,8
19,7
20,14
21,12
22,16
23,9
24,13
25,22
26,11
27,8
28,8
29,10
30,6
31,16
32,9
33,17
34,13
35,10
36,14
37,40
38,10
39,11
40,19
41,12
42,7
43,11
44,15
45,9
46,13
47,17
48,9
49,12
50,9
51,12
52,8
53,12
54,12
55,21
56,9
57,19
58,11
59,15
60,13
61,10
62,11
63,13
64,9
65,8
66,17
67,15
68,9
69,11
70,17
71,20
72,17
73,12
74,13
75,10
76,7
77,7
78,20
79,9
80,19
81,12
82,8
83,8
84,23
85,9
86,12
87,14
88,12
89,19
90,17
91,13
92,17
93,13
94,12
95,14
96,16
97,17
98,15
99,15
100,14
1,4
2,4
3,4
4,5
5,3
6,5
7,5
8,3
9,9
10,5
11,5
12,6
13,8
14,9
15,16
16,27
17,6
18,12
19,10
20,7
21,17
22,8
23,4
24,7
25,12
26,6
27,7
28,5
29,11
30,6
31,9
32,5
33,9
34,12
35,8
36,13
37,9
38,13
39,26
40,18
41,25
42,37
43,40
44,25
45,32
46,31
47,48
48,47
49,44
50,29
51,17
52,16
53,14
54,31
55,31
56,30
57,25
58,29
59,21
60,8
61,28
62,25
63,23
64,14
65,40
66,16
67,21
68,12
69,10
70,19
71,7
72,13
73,31
74,36
75,17
76,13
77,18
78,16
79,11
80,13
81,12
82,19
83,39
84,33
85,23
86,10
87,8
88,11
89,26
90,18
91,24
92,9
93,13
94,10
95,39
96,14
97,17
98,15
99,10
100,20
1,4
2,4
3,4
4,6
5,7
6,7
7,9
8,12
9,8
10,19
11,12
12,8
13,13
14,13
15,13
16,11
17,7
18,26
19,12
20,11
21,14
22,10
23,12
24,24
25,15
26,25
27,36
28,26
29,33
30,20
31,32
32,46
33,30
34,25
35,40
36,19
37,19
38,27
39,27
40,27
41,28
42,32
43,30
44,25
45,27
46,23
47,21
48,19
49,37
50,28
51,29
52,30
53,23
54,36
55,22
56,18
57,22
58,15
59,19
60,19
61,13
62,24
63,25
64,29
65,31
66,15
67,32
68,20
69,13
70,22
71,34
72,16
73,12
74,19
75,15
76,24
77,15
78,14
79,9
80,24
81,22
82,16
83,18
84,13
85,15
86,10
87,17
88,10
89,16
90,36
91,18
92,18
93,20
94,17
95,16
96,10
97,16
98,13
99,17
100,20
1,3
2,3
3,3
4,3
5,8
6,9
7,4
8,12
9,6
10,11
11,4
12,6
13,5
14,5
15,8
16,5
17,4
18,8
19,4
20,10
21,8
22,17
23,14
24,12
25,12
26,10
27,29
28,17
29,4
30,15
31,12
32,9
33,11
34,6
35,13
