Generation,Food
1,4
2,10
3,6
4,5
5,13
6,21
7,14
8,8
9,10
10,8
11,6
12,12
13,7
14,7
15,6
16,5
17,6
18,8
19,8
20,6
21,7
22,8
23,16
24,20
25,14
26,17
27,23
28,10
29,13
30,26
31,18
32,14
33,9
34,12
35,9
36,24
37,31
38,13
39,25
40,13
41,17
42,17
43,11
44,10
45,14
46,15
47,15
48,12
49,13
50,38
51,12
52,15
53,27
54,12
55,12
56,15
57,13
58,14
59,27
60,18
61,13
62,15
63,14
64,22
65,22
66,13
67,18
68,47
69,23
70,21
71,25
72,20
73,32
74,18
75,26
76,16
77,32
78,22
79,20
80,48
81,21
82,23
83,31
84,43
85,23
86,16
87,17
88,19
89,22
90,30
91,20
92,23
93,35
94,36
95,25
96,30
97,36
98,23
99,20
100,18
1,2
2,2
3,4
4,7
5,6
6,11
7,12
8,22
9,9
10,11
11,9
12,8
13,11
14,12
15,17
16,9
17,17
18,9
19,16
20,12
21,11
22,10
23,8
24,8
25,14
26,12
27,8
28,11
29,11
30,13
31,19
32,10
33,19
34,20
35,14
36,12
37,13
38,22
39,15
40,23
41,34
42,16
43,19
44,17
45,24
46,16
47,16
48,18
49,36
50,17
51,20
52,18
53,33
54,16
55,21
56,16
57,48
58,19
59,24
60,20
61,23
62,21
63,18
64,23
65,24
66,21
67,22
68,47
69,16
70,19
71,24
72,20
73,19
74,24
75,25
76,24
77,30
78,13
79,25
80,17
81,22
82,17
83,24
84,23
85,25
86,30
87,38
88,37
89,15
90,34
91,27
92,18
93,20
94,38
95,25
96,40
97,19
98,24
99,15
100,31
1,5
2,5
3,4
4,5
5,4
6,5
7,7
8,6
9,6
10,10
11,6
12,7
13,4
14,8
15,13
16,8
17,10
18,8
19,25
20,7
21,15
22,8
23,8
24,8
25,13
26,9
27,10
28,9
29,8
30,6
31,12
32,14
33,21
34,12
35,16
36,7
37,11
38,11
39,10
40,16
41,23
42,9
43,13
44,15
45,12
46,8
47,19
48,10
49,17
50,10
51,17
52,28
53,22
54,33
55,14
56,19
57,21
58,21
59,25
60,25
61,17
62,19
63,14
64,32
