Generation,Food
1,5
2,3
3,4
4,7
5,6
6,6
7,7
8,18
9,5
10,9
11,11
12,7
13,9
14,14
15,8
16,10
17,15
18,7
19,13
20,16
21,12
22,16
23,10
24,21
25,9
26,13
27,21
28,29
29,32
30,12
31,24
32,17
33,25
34,26
35,23
36,20
37,22
38,19
39,26
40,27
41,24
42,17
43,19
44,24
45,21
46,20
47,15
48,26
49,18
50,20
51,13
52,22
53,12
54,17
55,20
56,23
57,38
58,26
59,20
60,39
61,16
62,19
63,29
64,18
65,21
66,28
67,23
68,26
69,29
70,31
71,24
72,31
73,27
74,25
75,34
76,39
77,27
78,31
79,24
80,23
81,46
82,22
83,27
84,35
85,45
86,22
87,39
88,26
89,30
90,32
91,26
92,30
93,31
94,41
95,32
96,33
97,33
98,49
99,20
100,40
1,8
2,4
3,8
4,6
5,7
6,5
7,12
8,9
9,7
10,9
11,9
12,9
13,10
14,7
15,22
16,11
17,8
18,15
19,13
20,18
21,23
22,9
23,10
24,11
25,12
26,12
27,10
28,12
29,19
30,12
31,15
32,12
33,13
34,13
35,52
36,16
37,20
38,40
39,23
40,17
41,25
42,31
43,16
44,21
45,26
46,22
47,21
48,19
49,19
50,26
51,14
52,22
53,19
54,15
55,26
56,24
57,29
58,25
59,30
60,22
61,22
62,21
63,13
64,19
65,39
66,32
67,17
68,16
69,18
70,22
71,20
72,17
73,39
74,16
75,16
76,17
77,18
78,16
79,37
80,44
81,32
82,33
83,35
84,19
85,37
86,19
87,27
88,25
89,19
90,19
91,21
92,18
93,31
94,27
95,20
96,24
97,35
98,18
99,23
100,29
1,2
2,4
3,9
4,7
5,8
6,6
7,9
8,11
9,8
10,8
11,5
12,12
13,10
14,6
15,13
16,9
17,12
18,11
19,16
20,8
21,14
22,16
23,11
24,16
25,13
26,13
27,12
28,13
29,10
30,10
31,20
32,18
33,14
34,20
35,17
36,21
37,26
38,13
39,13
40,23
41,16
42,14
43,26
44,21
45,27
46,26
47,28
48,15
49,20
50,22
51,32
52,30
53,17
54,17
55,33
56,17
57,42
58,21
59,30
60,21
61,27
62,13
63,27
64,24
65,30
66,27
67,21
68,47
69,24
70,27
71,14
72,22
73,24
74,51
75,27
76,22
77,20
78,24
79,21
80,34
81,29
82,41
83,30
84,36
85,33
86,38
87,40
88,24
89,23
90,27
91,27
92,23
93,41
94,25
95,32
96,38
97,30
98,35
99,33
100,23
1,3
2,4
3,9
4,6
5,6
6,7
7,3
8,7
9,4
10,5
11,25
12,15
13,7
14,10
15,41
16,20
17,17
18,17
19,23
20,11
21,11
22,15
23,16
24,29
25,24
26,17
27,24
28,17
29,21
30,32
31,16
32,15
33,23
34,22
35,26
36,12
37,19
38,26
39,32
40,44
41,16
42,33
43,33
44,17
45,22
46,14
