Generation,Best Fitness,Avg Fitness
1,3036,136.262
2,5169,255.506
3,11484,644.798
4,22991,1018.28
5,17681,955.964
6,24102,933.658
7,47070,1511.694
8,28112,1394.47
9,44526,1699.166
10,46634,1781.268
11,39679,2222.37
12,27880,1437.228
13,22787,1199.644
14,36598,1370.112
15,34787,1603.772
16,39539,1343.716
17,33351,1806.094
18,24111,1630.644
19,33409,1474.65
20,58057,1365.366
21,29199,1535.978
22,49991,1702.2
23,35308,1877.574
24,34632,1625.972
25,46592,2044.786
26,19849,1234.692
27,39832,1133.6
28,70654,1498.72
29,46010,1391.638
30,36627,1537.728
31,57416,1699.594
32,35568,1761.742
33,39659,1560.384
34,28246,1870.066
35,60719,2042.82
36,47281,1913.434
37,49128,1887.552
38,38511,1606.434
39,36483,1657.506
40,38848,1746.518
41,31291,1543.132
42,36686,1955.53
43,43782,1411.126
44,30300,1550.546
45,34627,2019.814
46,28866,1491.304
47,43765,1550.534
48,31499,1798.168
49,40633,1625.522
50,33476,1955.916
