Generation,Best Fitness,Avg Fitness
1,2121,111.526
2,8304,659.174
3,8293,883.052
4,10392,547.142
5,16507,1227.356
6,24879,1013.996
7,10856,924.552
8,27714,902.15
9,29738,1002.412
10,19072,782.948
11,25530,971.636
12,25281,1395.638
13,28863,797.232
14,26861,909.654
15,21599,831.892
16,22185,882.726
17,31792,979.168
18,21183,955.654
19,20490,1061.036
20,14836,1025.348
21,23989,1066.274
22,27388,958.12
23,21184,1145.212
24,23285,1003.61
25,55335,1480.26
26,38700,1730.36
27,31598,1760.966
28,27336,1543.0
29,32439,1564.52
30,44590,1662.67
31,28572,1478.872
32,50935,1593.068
33,27883,1353.994
34,39248,1333.152
35,45124,2532.46
36,28567,1637.07
37,24062,1594.164
38,32876,1549.592
39,46141,1397.996
40,43236,2013.652
41,51448,1720.398
42,30461,1576.966
43,28010,1472.78
44,35817,1050.626
45,39389,1225.022
46,37752,921.968
47,25325,933.612
48,39878,1308.31
49,54655,1380.29
50,34003,842.622
