Generation,Best Fitness,Avg Fitness
1,2129,112.084
2,3099,144.574
3,3155,160.46
4,6296,146.258
5,4240,236.182
6,4106,322.424
7,2179,213.58
8,3102,327.872
9,3108,291.512
10,3212,285.704
11,4073,223.14
12,4071,214.302
13,4262,265.878
14,4098,181.77
15,4124,264.374
16,4272,274.042
17,3059,273.55
18,3141,221.222
19,3037,292.428
20,3099,268.126
21,3031,321.644
22,5102,397.464
23,3152,276.622
24,3195,204.798
25,3049,134.656
26,1103,114.184
27,5195,194.498
28,10398,230.29
29,5542,190.286
30,5173,178.888
31,6289,159.61
32,4234,162.076
33,4089,275.324
34,8214,255.598
35,6233,354.306
36,5119,350.45
37,3089,299.176
38,4186,304.784
39,4195,255.432
40,5210,317.196
41,10341,265.666
42,10551,276.934
43,5369,283.838
44,4220,250.176
45,6441,328.894
46,4128,274.008
47,8381,419.98
48,6390,315.826
49,7217,380.466
50,3097,348.28
