Generation,Best Fitness,Avg Fitness
1,5211,135.468
2,2069,183.762
3,3077,199.006
4,3109,197.158
5,5151,243.062
6,3097,249.964
7,2477,243.878
8,4147,272.202
9,6288,306.724
10,6322,301.866
11,7337,290.198
12,4151,277.13
13,3165,241.914
14,5213,299.196
15,8535,277.552
16,6409,284.45
17,6414,346.082
18,10430,374.514
19,7430,304.248
20,8512,350.022
21,3127,258.734
22,8357,312.97
23,6168,341.376
24,5181,323.636
25,6314,295.044
26,12428,456.158
27,6278,354.232
28,13732,374.946
29,5137,361.848
30,10402,358.876
31,5241,381.558
32,13885,360.476
33,6384,416.952
34,16701,488.168
35,11554,406.87
36,31392,671.86
37,11462,556.726
38,27000,623.346
39,15728,557.068
40,11493,570.276
41,20866,625.45
42,27523,742.75
43,21976,680.294
44,17801,653.364
45,9481,626.588
46,25406,753.982
47,25326,643.144
48,19782,680.736
49,15786,641.312
50,35903,657.298
