Generation,Food
1,6
2,6
3,13
4,12
5,13
6,15
7,26
8,23
9,23
10,22
11,23
12,29
13,21
14,21
15,27
16,24
17,20
18,48
19,48
20,29
21,46
22,54
23,31
24,47
25,52
26,46
27,47
28,56
29,52
30,55
31,60
32,44
33,59
34,53
35,60
36,45
37,54
38,53
39,41
40,50
41,55
42,41
43,67
44,59
45,72
46,45
47,56
48,49
49,59
50,46
51,43
52,44
53,56
54,45
55,57
56,48
57,56
58,44
59,40
60,46
61,46
62,46
63,42
64,46
65,43
66,49
67,40
68,42
69,49
70,65
71,48
72,46
73,55
74,48
75,44
76,50
77,53
78,45
79,50
80,51
81,59
82,59
83,42
84,57
85,47
86,62
87,49
88,54
89,49
90,59
91,50
92,47
93,63
94,47
95,57
96,43
97,45
98,44
99,51
100,50
