Generation,Food
1,5
2,9
3,26
4,16
5,27
6,19
7,19
8,31
9,17
10,22
11,23
12,35
13,38
14,32
15,41
16,50
17,34
18,34
19,54
20,71
21,44
22,62
23,51
24,49
25,57
26,58
27,48
28,55
29,44
30,43
31,78
32,64
33,47
34,61
35,50
36,70
37,51
38,49
39,48
40,51
41,65
42,51
43,62
44,66
45,51
46,64
47,54
48,54
49,60
50,71
51,63
52,71
53,62
54,58
55,53
56,70
57,58
58,56
59,67
60,48
61,60
62,56
63,55
64,48
65,48
66,55
67,54
68,47
69,47
70,61
71,50
72,62
73,73
74,41
75,38
76,42
77,48
78,53
79,48
80,44
81,54
82,60
83,61
84,46
85,49
86,50
87,58
88,67
89,51
90,49
91,53
92,61
93,70
94,54
95,54
96,63
97,46
98,49
99,72
100,56
