Generation,Best Fitness,Avg Fitness
1,10618,139.017
2,4224,180.235
3,9627,182.5105
4,9343,194.8355
5,5348,197.8025
6,3213,186.011
7,7255,221.1595
8,9264,231.297
9,13668,230.8505
10,6269,234.1685
11,5226,244.9905
12,8338,236.286
13,8361,237.365
14,6166,230.526
15,10546,236.688
16,5383,237.997
17,9300,258.0635
18,9398,259.093
19,12304,248.6055
20,7331,242.8165
21,11431,260.5225
22,6202,261.156
23,11329,279.703
24,6252,281.3825
25,10294,295.4745
26,14493,302.2135
27,10502,299.8175
28,8240,282.027
29,9521,292.632
30,13397,295.955
31,6333,325.3485
32,8239,314.582
33,11460,316.6095
34,8482,330.781
35,6186,310.3625
36,10280,335.052
37,16697,334.9995
38,14526,340.6375
39,6446,349.5425
40,8401,321.204
41,7287,351.0525
42,15800,366.1885
43,8339,373.295
44,13471,337.3795
45,7188,345.215
46,22796,364.4175
47,17757,369.0885
48,21866,368.7565
49,9431,339.213
50,26148,383.5865
51,32513,401.572
52,11490,372.761
53,15676,421.9475
54,14654,438.8475
55,18708,447.787
56,13778,390.5375
57,21556,387.6165
58,22777,410.951
59,16539,386.8035
60,16932,400.458
61,19986,420.5285
62,12376,380.556
63,19603,423.125
64,22992,441.868
65,26362,434.9495
66,29279,436.174
67,14617,415.2075
68,12392,439.9045
69,21860,446.1055
70,13723,394.5425
71,12636,407.782
72,24097,386.0685
73,23149,401.666
74,19065,410.3785
75,18678,419.943
76,16638,441.616
77,20860,475.473
78,27428,458.2555
79,22898,438.0125
80,17782,419.188
81,14515,423.274
82,16813,411.5055
83,14661,429.9015
84,31467,439.8235
85,32129,460.007
86,22002,411.7475
87,13729,404.3375
88,12544,405.906
89,19765,462.5115
90,24967,454.7255
91,22137,449.29
92,21111,460.387
93,30625,461.511
94,23020,497.1505
95,27332,502.642
96,21899,497.839
97,30704,477.3005
98,44311,495.2295
99,21270,472.2165
100,17967,480.436
