Generation,Food
1,2
2,7
3,4
4,6
5,3
6,4
7,10
8,8
9,23
10,5
11,13
12,8
13,10
14,9
15,17
16,11
17,10
18,11
19,9
20,12
21,7
22,7
23,15
24,15
25,15
26,22
27,18
28,9
29,14
30,18
31,13
32,17
33,12
34,19
35,12
36,12
37,13
38,16
39,16
40,15
41,20
42,8
43,20
44,16
45,13
46,9
47,15
48,8
49,8
50,20
51,11
52,16
53,16
54,15
55,14
56,9
57,18
58,17
59,14
60,15
61,21
62,15
63,8
64,20
65,20
66,20
67,16
68,15
69,11
70,11
71,21
72,16
73,12
74,13
75,23
76,34
77,15
78,15
79,23
80,14
81,22
82,11
83,14
84,14
85,9
86,13
87,12
88,11
89,8
90,12
91,11
92,19
93,16
94,12
95,41
96,14
97,21
98,11
99,14
100,14
