Generation,Food
1,6
2,4
3,11
4,9
5,6
6,7
7,4
8,3
9,9
10,7
11,7
12,6
13,6
14,20
15,9
16,20
17,9
18,15
19,16
20,17
21,12
22,22
23,28
24,15
25,30
26,14
27,20
28,13
29,37
30,16
31,24
32,15
33,19
34,25
35,15
36,16
37,22
38,26
39,39
40,20
41,14
42,45
43,22
44,22
45,32
46,38
47,23
48,28
49,23
50,44
51,21
52,26
53,31
54,27
55,22
56,20
57,36
58,45
59,35
60,30
61,23
62,26
63,31
64,37
65,37
66,35
67,55
68,44
69,27
70,37
71,53
72,37
73,54
74,34
75,35
76,28
77,32
78,65
79,41
80,44
81,39
82,33
83,39
84,36
85,28
86,38
87,34
88,35
89,33
90,34
91,50
92,28
93,42
94,44
95,35
96,28
97,38
98,30
99,38
100,49
