Generation,Food
1,4
2,4
3,9
4,5
5,5
6,5
7,8
8,6
9,4
10,4
11,12
12,6
13,6
14,14
15,5
16,9
17,9
18,6
19,10
20,7
21,11
22,13
23,19
24,17
25,17
26,15
27,24
28,28
29,13
30,19
31,18
32,10
33,12
34,16
35,38
36,10
37,25
38,19
39,19
40,15
41,28
42,21
43,11
44,12
45,16
46,12
47,11
48,18
49,9
50,6
51,7
52,7
53,10
54,8
55,10
56,7
57,6
58,12
59,8
60,15
61,9
62,8
63,19
64,18
65,17
66,19
67,16
68,11
69,23
70,19
71,8
72,23
73,9
74,8
75,13
76,14
77,5
78,7
79,4
80,4
81,6
82,6
83,19
84,6
85,21
86,5
87,6
88,7
89,7
90,5
91,10
92,9
93,10
94,7
95,19
96,12
97,8
98,7
99,11
100,10
