Generation,Food
1,4
2,4
3,8
4,12
5,5
6,5
7,8
8,9
9,7
10,8
11,5
12,5
13,14
14,22
15,14
16,6
17,17
18,9
19,12
20,19
21,8
22,11
23,13
24,12
25,14
26,11
27,9
28,7
29,24
30,10
31,14
32,9
33,10
34,11
35,6
36,12
37,6
38,13
39,5
40,6
41,19
42,14
43,12
44,27
45,8
46,9
47,7
48,14
49,14
50,15
51,10
52,5
53,6
54,14
55,10
56,9
57,5
58,4
59,6
60,14
61,9
62,9
63,7
64,8
65,12
66,9
67,9
68,10
69,9
70,6
71,10
72,9
73,8
74,14
75,7
76,22
77,11
78,16
79,9
80,8
81,14
82,12
83,10
84,14
85,9
86,11
87,15
88,14
89,23
90,8
91,15
92,14
93,9
94,16
95,19
96,19
97,7
98,8
99,11
100,5
