Generation,Best Fitness,Avg Fitness
1,12615,154.1935
2,5160,183.4295
3,4152,197.8045
4,5200,174.5555
5,4122,197.61
6,7278,210.5545
7,8426,209.787
8,5526,227.299
9,8348,207.602
10,6406,210.403
11,4157,238.0045
12,7247,215.184
13,9259,242.1555
14,5386,222.5295
15,8200,246.795
16,22024,269.1865
17,13572,251.265
18,14674,247.3875
19,16567,243.975
20,9610,267.3585
21,12333,278.006
22,14511,277.977
23,9423,270.546
24,13451,270.163
25,9233,305.5925
26,10393,315.715
27,18752,346.603
28,13475,346.1455
29,22946,325.305
30,12563,298.2725
31,16688,329.983
32,9395,314.992
33,11235,348.2165
34,9406,354.7945
35,20904,375.1015
36,21759,360.2955
37,12581,351.0095
38,11331,353.179
39,18843,371.5525
40,10537,364.951
41,22663,378.7745
42,9332,385.071
43,12511,341.9385
44,14500,368.6
45,20734,426.6845
46,11591,386.5165
47,14726,384.3915
48,25047,401.7655
49,17823,356.07
50,12535,373.4985
