Generation,Food
1,3
2,4
3,3
4,3
5,5
6,5
7,19
8,8
9,9
10,7
11,6
12,10
13,11
14,8
15,7
16,10
17,9
18,15
19,10
20,13
21,11
22,9
23,15
24,9
25,29
26,11
27,31
28,20
29,14
30,11
31,15
32,14
33,15
34,12
35,14
36,15
37,14
38,16
39,12
40,16
41,16
42,23
43,18
44,17
45,17
46,21
47,18
48,25
49,23
50,24
51,23
52,21
53,25
54,28
55,31
56,40
57,48
58,51
59,50
60,63
61,38
62,34
63,29
64,28
65,25
66,30
67,42
68,38
69,31
70,42
71,17
72,25
73,24
74,39
75,30
76,19
77,55
78,47
79,25
80,62
81,38
82,21
83,57
84,33
85,49
86,52
87,34
88,37
89,27
90,30
91,26
92,30
93,26
94,44
95,53
96,24
97,38
98,25
99,35
100,53
