Generation,Food
1,2
2,4
3,4
4,13
5,7
6,9
7,5
8,9
9,12
10,8
11,20
12,7
13,7
14,16
15,11
16,18
17,7
18,11
19,12
20,15
21,22
22,18
23,9
24,8
25,15
26,19
27,17
28,15
29,20
30,21
31,19
32,14
33,23
34,16
35,20
36,41
37,38
38,22
39,13
40,21
41,34
42,20
43,16
44,24
45,20
46,29
47,21
48,36
49,34
50,27
51,21
52,23
53,24
54,38
55,22
56,25
57,28
58,34
59,24
60,25
61,42
62,27
63,46
64,37
65,25
66,34
67,47
68,41
69,29
70,26
71,39
72,43
73,33
74,22
75,39
76,22
77,34
78,21
79,20
80,43
81,42
82,29
83,18
84,31
85,31
86,21
87,29
88,31
89,27
90,24
91,22
92,31
93,20
94,31
95,24
96,15
97,33
98,25
99,20
100,18
