Generation,Best Fitness,Avg Fitness
1,2138,133.794
2,3090,158.28
3,2187,178.09
4,4208,167.504
5,3131,173.54
6,2081,155.426
7,4326,205.252
8,4237,220.662
9,11424,305.064
10,8372,244.112
11,9387,268.48
12,6270,215.894
13,5187,223.174
14,7171,287.972
15,3189,213.214
16,8136,274.674
17,7203,223.812
18,4298,280.81
19,7415,327.944
20,7395,369.306
21,3271,211.834
22,6385,315.532
23,7135,231.012
24,5220,327.882
25,11379,248.342
26,6254,243.342
27,4168,296.798
28,6343,254.23
29,6250,270.048
30,8381,264.882
31,8390,279.988
32,5167,298.042
33,4128,201.286
34,3096,165.65
35,4312,211.048
36,2202,187.084
37,3224,233.6
38,3175,246.046
39,3088,242.416
40,5705,290.666
41,3173,262.248
42,7259,357.0
43,5276,234.324
44,3072,192.492
45,4121,173.078
46,3184,188.588
47,5102,201.474
48,7311,275.096
49,6182,332.618
50,4188,280.59
