Generation,Best Fitness,Avg Fitness
1,2342,119.67
2,2299,159.988
3,4259,167.2865
4,4381,176.1065
5,9488,183.211
6,5179,182.958
7,8374,185.755
8,12603,199.3895
9,4285,215.5355
10,4202,189.656
11,6320,209.9565
12,8372,214.6525
13,9250,230.138
14,9516,222.756
15,10571,228.606
16,21455,247.378
17,13585,230.537
18,9642,234.578
19,6200,231.7125
20,9628,223.229
21,8464,218.533
22,6546,233.953
23,4369,234.2255
24,9458,216.9225
25,6199,233.1905
26,11567,242.944
27,11627,222.9695
28,5229,202.951
29,8890,219.966
30,8407,234.233
31,15423,259.552
32,10561,245.2305
33,8194,212.849
34,9297,211.819
35,6241,233.663
36,13747,244.358
37,5140,226.984
38,11914,229.9985
39,7424,221.8685
40,6301,232.803
41,7448,210.167
42,7250,241.9115
43,6185,236.6775
44,5206,213.9175
45,6462,208.3195
46,7394,206.6345
47,11578,218.0865
48,5201,185.825
49,11264,220.9455
50,5433,205.4765
