Generation,Food
1,4.0
2,7.0
3,13.5
4,12.0
5,12.5
6,18.0
7,22.0
8,20.5
9,23.0
10,21.5
11,25.0
12,26.0
13,29.0
14,30.0
15,31.5
16,33.0
17,30.5
18,36.5
19,35.0
20,35.5
21,44.5
22,43.0
23,39.5
24,38.5
25,39.0
26,39.0
27,40.0
28,43.0
29,44.5
30,49.0
31,48.5
32,43.0
33,46.5
34,46.5
35,44.0
36,46.5
37,53.0
38,46.5
39,43.0
40,49.0
41,50.5
42,47.0
43,47.0
44,54.5
45,50.5
46,54.0
47,53.0
48,50.5
49,47.0
50,51.0
51,57.0
52,55.5
53,55.0
54,51.5
55,57.0
56,50.5
57,50.0
58,56.0
59,51.0
60,53.0
61,49.5
62,52.5
63,54.0
64,52.5
65,54.5
66,52.0
67,56.0
68,56.0
69,57.5
70,54.5
71,53.5
72,57.0
73,55.5
74,57.5
75,60.5
76,59.0
77,54.5
78,54.5
79,58.0
80,57.0
81,58.5
82,60.0
83,57.5
84,57.0
85,60.5
86,60.5
87,56.5
88,57.0
89,59.5
90,64.0
91,63.5
92,58.5
93,61.5
94,58.0
95,64.5
96,57.0
97,62.5
98,62.0
99,66.0
100,61.0
