Generation,Food
1,3.5
2,9.5
3,12.5
4,15.5
5,18.5
6,20.5
7,27.5
8,31.5
9,29.0
10,30.0
11,32.5
12,31.0
13,34.0
14,34.5
15,40.0
16,40.5
17,43.0
18,43.0
19,47.5
20,43.5
21,43.0
22,46.0
23,41.0
24,46.5
25,47.0
26,43.0
27,44.0
28,42.5
29,42.0
30,45.0
31,50.5
32,52.0
33,49.0
34,51.5
35,48.5
36,52.0
37,51.5
38,50.0
39,48.0
40,47.5
41,49.5
42,57.5
43,49.0
44,57.0
45,48.5
46,59.0
47,53.5
48,52.0
49,52.0
50,51.5
51,59.5
52,55.5
53,60.0
54,57.0
55,45.5
56,52.0
57,53.5
58,49.0
59,49.5
60,51.0
61,56.0
62,53.5
63,54.0
64,54.0
65,49.5
66,49.5
67,54.0
68,53.5
69,52.0
70,56.0
71,51.0
72,53.5
73,51.0
74,52.0
75,51.5
76,55.0
77,52.0
78,49.5
79,56.5
80,46.0
81,55.0
82,53.0
83,55.0
84,49.0
85,57.5
86,50.5
87,55.0
88,54.0
89,53.5
90,52.5
91,53.0
92,55.5
93,54.5
94,54.5
95,59.0
96,53.0
97,48.5
98,50.0
99,53.5
100,52.5
