Generation,Food
1,4.0
2,5.0
3,4.0
4,4.5
5,5.0
6,6.5
7,7.0
8,8.5
9,6.5
10,6.0
11,6.5
12,8.0
13,7.5
14,9.5
15,10.5
16,8.5
17,8.0
18,9.0
19,9.0
20,9.5
21,10.5
22,9.0
23,12.0
24,9.0
25,10.0
26,12.5
27,12.0
28,9.0
29,13.0
30,12.5
31,12.0
32,15.0
33,11.0
34,13.5
35,12.0
36,11.5
37,14.5
38,14.0
39,16.0
40,15.5
41,16.5
42,14.5
43,18.5
44,12.5
45,19.5
46,16.5
47,16.0
48,22.0
49,14.0
50,18.5
51,18.5
52,16.0
53,16.0
54,16.0
55,17.0
56,17.0
57,23.5
58,22.5
59,20.0
60,18.0
61,20.5
62,20.5
63,24.0
64,17.0
65,17.5
66,18.0
67,23.0
68,14.5
69,18.0
70,19.5
71,17.0
72,23.0
73,19.0
74,19.0
75,18.0
76,16.5
77,21.0
78,21.5
79,20.0
80,18.5
81,21.5
82,16.0
83,19.5
84,20.0
85,30.0
86,20.0
87,21.5
88,20.0
89,24.0
90,26.5
91,18.0
92,21.0
93,23.5
94,24.5
95,28.5
96,20.0
97,19.5
98,23.5
99,19.0
100,21.5
