Generation,Food
1,4.0
2,4.5
3,5.0
4,6.5
5,5.5
6,6.5
7,8.5
8,7.5
9,8.0
10,8.0
11,7.0
12,9.5
13,9.0
14,15.0
15,13.0
16,10.5
17,11.5
18,12.0
19,13.5
20,11.0
21,11.0
22,13.5
23,18.0
24,14.5
25,16.5
26,13.5
27,11.5
28,14.0
29,14.0
30,16.0
31,17.5
32,16.0
33,15.5
34,13.5
35,18.0
36,17.5
37,19.0
38,18.0
39,18.0
40,17.0
41,18.5
42,19.5
43,16.5
44,18.5
45,15.5
46,19.0
47,21.5
48,16.5
49,16.5
50,19.0
51,22.0
52,25.5
53,29.0
54,21.5
55,22.0
56,20.5
57,26.0
58,19.5
59,23.5
60,18.0
61,27.5
62,25.5
63,28.0
64,22.5
65,22.0
66,31.0
67,19.0
68,24.5
69,27.5
70,21.0
71,26.5
72,23.0
73,25.5
74,21.0
75,29.0
76,21.0
77,26.5
78,23.5
79,26.0
80,31.0
81,28.0
82,23.0
83,30.5
84,30.5
85,24.5
86,24.0
87,22.5
88,32.5
89,31.0
90,28.0
91,23.5
92,27.5
93,28.0
94,26.0
95,28.0
96,23.5
97,31.5
98,29.5
99,33.0
100,33.0
