Generation,Food
1,4.0
2,4.0
3,4.0
4,4.5
5,5.0
6,5.0
7,7.0
8,6.0
9,6.0
10,6.5
11,6.5
12,7.0
13,6.0
14,8.5
15,10.0
16,9.0
17,6.0
18,6.0
19,7.0
20,7.0
21,10.0
22,11.5
23,11.0
24,11.0
25,10.0
26,12.0
27,12.5
28,10.5
29,9.5
30,8.0
31,8.0
32,9.0
33,10.0
34,9.0
35,9.5
36,8.5
37,10.0
38,11.0
39,9.0
40,8.0
41,9.5
42,8.5
43,8.0
44,10.5
45,7.5
46,8.0
47,8.5
48,8.5
49,8.0
50,6.5
51,7.5
52,9.5
53,11.5
54,9.0
55,9.5
56,8.5
57,10.5
58,11.5
59,8.5
60,11.0
61,9.5
62,7.5
63,7.5
64,9.0
65,9.0
66,6.0
67,13.0
68,8.5
69,10.5
70,10.0
71,10.5
72,9.0
73,12.5
74,8.0
75,8.5
76,10.5
77,8.0
78,10.5
79,8.0
80,9.0
81,8.0
82,10.0
83,12.0
84,6.0
85,8.0
86,10.5
87,9.0
88,7.0
89,8.5
90,7.0
91,9.0
92,11.0
93,9.5
94,8.5
95,14.5
96,11.0
97,12.0
98,10.0
99,10.0
100,10.0
