Generation,Food
1,4.0
2,4.0
3,4.0
4,5.0
5,6.0
6,5.0
7,6.0
8,7.0
9,7.0
10,7.0
11,5.0
12,6.0
13,7.0
14,9.0
15,10.0
16,10.0
17,8.0
18,9.0
19,8.0
20,11.0
21,9.0
22,9.0
23,9.0
24,11.0
25,12.0
26,10.0
27,9.0
28,8.0
29,11.0
30,9.0
31,9.0
32,9.0
33,10.0
34,9.0
35,9.0
36,11.0
37,9.0
38,11.0
39,11.0
40,11.0
41,14.0
42,11.0
43,10.0
44,11.0
45,9.0
46,11.0
47,13.0
48,9.0
49,14.0
50,11.0
51,12.0
52,9.0
53,9.0
54,12.0
55,11.0
56,11.0
57,11.0
58,11.0
59,13.0
60,13.0
61,13.0
62,11.0
63,13.0
64,11.0
65,13.0
66,15.0
67,15.0
68,13.0
69,11.0
70,17.0
71,17.0
72,13.0
73,12.0
74,12.0
75,11.0
76,14.0
77,12.0
78,13.0
79,9.0
80,13.0
81,13.0
82,9.0
83,10.0
84,14.0
85,9.0
86,11.0
87,11.0
88,11.0
89,12.0
90,12.0
91,17.0
92,13.0
93,9.0
94,12.0
95,13.0
96,11.0
97,11.0
98,14.0
99,13.0
100,11.0
