Generation,Food
1,4.0
2,4.0
3,5.5
4,5.0
5,6.0
6,8.5
7,8.5
8,9.0
9,8.5
10,7.5
11,6.0
12,7.5
13,8.0
14,8.0
15,10.0
16,9.5
17,11.0
18,9.0
19,9.5
20,10.0
21,11.0
22,9.0
23,9.5
24,14.0
25,13.5
26,12.0
27,13.5
28,12.5
29,14.0
30,11.0
31,13.5
32,14.0
33,13.5
34,13.0
35,14.0
36,14.5
37,15.5
38,15.5
39,16.0
40,16.0
41,19.0
42,17.5
43,15.0
44,17.0
45,16.5
46,16.0
47,18.0
48,17.0
49,19.5
50,23.5
51,20.5
52,20.0
53,22.5
54,19.5
55,21.5
56,17.5
57,21.0
58,22.5
59,26.0
60,22.0
61,25.0
62,21.5
63,20.0
64,25.5
65,22.5
66,20.5
67,22.0
68,25.0
69,26.5
70,20.0
71,25.5
72,19.5
73,23.5
74,18.0
75,23.0
76,21.0
77,28.5
78,22.5
79,21.0
80,23.5
81,29.0
82,24.5
83,23.5
84,26.5
85,24.0
86,26.0
87,29.5
88,26.5
89,23.5
90,28.0
91,26.0
92,23.0
93,27.0
94,37.0
95,27.5
96,30.0
97,24.5
98,25.0
99,27.0
100,23.5
