Generation,Food
1,4.5
2,4.0
3,4.0
4,6.5
5,7.0
6,6.5
7,7.5
8,9.0
9,7.0
10,9.0
11,10.0
12,9.0
13,9.0
14,10.0
15,13.0
16,10.0
17,11.0
18,11.0
19,12.5
20,11.5
21,13.5
22,14.0
23,11.5
24,14.5
25,11.5
26,13.5
27,13.0
28,14.0
29,20.5
30,16.5
31,17.0
32,15.0
33,20.5
34,20.0
35,19.5
36,20.5
37,19.0
38,20.5
39,21.0
40,21.0
41,20.5
42,21.5
43,20.0
44,24.0
45,22.0
46,24.0
47,24.5
48,24.5
49,24.5
50,25.0
51,23.0
52,22.0
53,24.0
54,19.5
55,23.5
56,24.0
57,27.0
58,24.0
59,24.0
60,24.5
61,25.0
62,19.5
63,25.5
64,21.0
65,28.5
66,26.0
67,23.0
68,24.5
69,24.5
70,22.5
71,22.0
72,24.0
73,25.0
74,24.5
75,27.5
76,21.5
77,27.5
78,24.0
79,25.5
80,32.5
81,24.5
82,27.0
83,26.5
84,31.0
85,34.0
86,23.0
87,28.5
88,25.5
89,23.5
90,23.5
91,22.5
92,27.5
93,30.5
94,28.5
95,31.5
96,30.0
97,34.0
98,32.0
99,22.0
100,30.5
